from,to,capacity,length,fft,alpha,beta
36,300,1,0.6,0.01,0,0
37,305,1,0.840000025,0.014,0,0
38,289,1,2.560000102,0.042666668,0,0
38,336,1,2.960000102,0.049333335,0,0
38,340,1,2.560000102,0.042666668,0,0
38,341,1,2.960000102,0.049333335,0,0
39,327,1,0.560000038,0.009333334,0,0
40,329,1,0.6,0.01,0,0
41,311,1,0.480000019,0.008,0,0
42,312,1,1.520000076,0.025333335,0,0
42,313,1,1.320000076,0.022000001,0,0
43,332,1,0.920000013,0.015333334,0,0
44,319,1,1.760000102,0.029333335,0,0
45,339,1,1.680000051,0.028000001,0,0
46,321,1,0.760000038,0.012666667,0,0
46,334,1,0.760000038,0.012666667,0,0
47,360,1,0.4,0.006666667,0,0
47,361,1,0.4,0.006666667,0,0
47,362,1,1.2,0.02,0,0
48,376,1,0.720000013,0.012,0,0
49,447,1,0.440000025,0.007333334,0,0
50,378,1,1.520000076,0.025333335,0,0
51,377,1,1.480000051,0.024666668,0,0
51,382,1,1.000000064,0.016666668,0,0
52,383,1,1.080000051,0.018000001,0,0
52,443,1,0.920000013,0.015333334,0,0
52,444,1,1.4,0.023333333,0,0
52,446,1,1.360000102,0.022666668,0,0
53,405,1,0.840000025,0.014,0,0
54,394,1,1.360000102,0.022666668,0,0
54,400,1,0.840000025,0.014,0,0
54,404,1,0.960000038,0.016000001,0,0
55,395,1,1.320000076,0.022000001,0,0
55,434,1,3.800000254,0.063333338,0,0
55,1035,1,1.160000102,0.019333335,0,0
56,393,1,1.680000051,0.028000001,0,0
56,435,1,3.400000254,0.056666671,0,0
57,406,1,0.880000051,0.014666668,0,0
58,407,1,0.760000038,0.012666667,0,0
58,432,1,5.280000305,0.088000005,0,0
58,1035,1,1.880000051,0.031333334,0,0
59,412,1,0.760000038,0.012666667,0,0
59,413,1,0.920000013,0.015333334,0,0
60,481,1,0.760000038,0.012666667,0,0
61,477,1,1.120000076,0.018666668,0,0
62,420,1,2.280000051,0.038000001,0,0
62,421,1,2.280000051,0.038000001,0,0
63,411,1,0.440000025,0.007333334,0,0
63,418,1,2.280000051,0.038000001,0,0
63,429,1,2.280000051,0.038000001,0,0
64,418,1,0.760000038,0.012666667,0,0
64,419,1,0.760000038,0.012666667,0,0
65,426,1,1.000000064,0.016666668,0,0
66,453,1,0.920000013,0.015333334,0,0
66,454,1,0.760000038,0.012666667,0,0
66,1034,1,1.440000025,0.024,0,0
67,441,1,1.000000064,0.016666668,0,0
68,465,1,0.480000019,0.008,0,0
69,456,1,0.840000025,0.014,0,0
70,468,1,0.6,0.01,0,0
70,473,1,0.840000025,0.014,0,0
71,467,1,1.000000064,0.016666668,0,0
71,472,1,1.960000102,0.032666668,0,0
72,462,1,0.440000025,0.007333334,0,0
73,457,1,1.2,0.02,0,0
73,464,1,1.880000051,0.031333334,0,0
74,483,1,1.080000051,0.018000001,0,0
74,500,1,1.800000127,0.030000002,0,0
74,501,1,1.640000025,0.027333334,0,0
75,503,1,1.520000076,0.025333335,0,0
76,485,1,2.720000203,0.045333337,0,0
76,498,1,1.720000076,0.028666668,0,0
77,493,1,1.440000025,0.024,0,0
77,507,1,1.360000102,0.022666668,0,0
78,504,1,1.520000076,0.025333335,0,0
79,492,1,1.880000051,0.031333334,0,0
80,620,1,0.440000025,0.007333334,0,0
80,621,1,0.440000025,0.007333334,0,0
80,652,1,0.640000025,0.010666667,0,0
81,628,1,1.360000102,0.022666668,0,0
81,629,1,1.360000102,0.022666668,0,0
81,657,1,1.4,0.023333333,0,0
82,653,1,0.480000019,0.008,0,0
82,658,1,0.920000013,0.015333334,0,0
83,703,1,0.440000025,0.007333334,0,0
84,700,1,0.880000051,0.014666668,0,0
84,701,1,0.880000051,0.014666668,0,0
84,720,1,1.520000076,0.025333335,0,0
84,722,1,1.520000076,0.025333335,0,0
85,721,1,0.4,0.006666667,0,0
85,732,1,0.680000051,0.011333334,0,0
86,770,1,0.680000051,0.011333334,0,0
87,771,1,0.960000038,0.016000001,0,0
88,777,1,1.040000025,0.017333334,0,0
88,778,1,1.360000102,0.022666668,0,0
89,797,1,0.760000038,0.012666667,0,0
90,786,1,1.760000102,0.029333335,0,0
90,788,1,1.440000025,0.024,0,0
90,789,1,1.440000025,0.024,0,0
90,793,1,1.760000102,0.029333335,0,0
91,798,1,1.880000051,0.031333334,0,0
91,799,1,1.720000076,0.028666668,0,0
92,812,1,1.320000076,0.022000001,0,0
92,814,1,2.560000102,0.042666668,0,0
93,804,1,4.520000203,0.075333337,0,0
93,817,1,3,0.05,0,0
94,813,1,2.440000153,0.040666669,0,0
95,818,1,3.400000254,0.056666671,0,0
95,819,1,2.040000025,0.034,0,0
96,558,1,0.360000006,0.006,0,0
97,648,1,1.2,0.02,0,0
97,659,1,1.040000025,0.017333334,0,0
97,694,1,1.320000076,0.022000001,0,0
97,695,1,1.320000076,0.022000001,0,0
98,601,1,0.920000013,0.015333334,0,0
98,647,1,0.680000051,0.011333334,0,0
98,650,1,1.4,0.023333333,0,0
99,600,1,0.480000019,0.008,0,0
99,644,1,0.880000051,0.014666668,0,0
100,694,1,1.6,0.026666667,0,0
100,695,1,1.6,0.026666667,0,0
100,718,1,1.760000102,0.029333335,0,0
100,728,1,1.6,0.026666667,0,0
101,688,1,0.960000038,0.016000001,0,0
101,689,1,0.960000038,0.016000001,0,0
102,677,1,2.480000051,0.041333334,0,0
102,687,1,0.720000013,0.012,0,0
103,751,1,0.920000013,0.015333334,0,0
103,752,1,0.680000051,0.011333334,0,0
104,708,1,1.960000102,0.032666668,0,0
104,836,1,1.080000051,0.018000001,0,0
105,755,1,1.120000076,0.018666668,0,0
106,705,1,1.120000076,0.018666668,0,0
106,742,1,1.120000076,0.018666668,0,0
107,546,1,1.080000051,0.018000001,0,0
107,548,1,0.960000038,0.016000001,0,0
108,532,1,0.680000051,0.011333334,0,0
108,533,1,0.840000025,0.014,0,0
109,637,1,1.120000076,0.018666668,0,0
109,639,1,1.040000025,0.017333334,0,0
110,631,1,1.240000025,0.020666667,0,0
110,633,1,1.040000025,0.017333334,0,0
110,634,1,1.4,0.023333333,0,0
110,670,1,1.680000051,0.028000001,0,0
111,540,1,0.960000038,0.016000001,0,0
111,541,1,1.040000025,0.017333334,0,0
111,543,1,1.520000076,0.025333335,0,0
111,578,1,0.720000013,0.012,0,0
111,579,1,0.720000013,0.012,0,0
112,524,1,0.720000013,0.012,0,0
112,541,1,1.4,0.023333333,0,0
113,684,1,0.960000038,0.016000001,0,0
113,706,1,0.960000038,0.016000001,0,0
114,670,1,0.520000013,0.008666667,0,0
114,682,1,1.880000051,0.031333334,0,0
114,686,1,1.880000051,0.031333334,0,0
115,633,1,1.840000025,0.030666667,0,0
115,667,1,1.640000025,0.027333334,0,0
116,570,1,0.520000013,0.008666667,0,0
116,571,1,0.520000013,0.008666667,0,0
117,522,1,0.8,0.013333333,0,0
117,538,1,1.160000102,0.019333335,0,0
118,567,1,0.920000013,0.015333334,0,0
118,665,1,1.880000051,0.031333334,0,0
119,520,1,0.920000013,0.015333334,0,0
120,667,1,1.120000076,0.018666668,0,0
120,683,1,1.120000076,0.018666668,0,0
121,519,1,0.760000038,0.012666667,0,0
122,516,1,0.760000038,0.012666667,0,0
123,662,1,0.760000038,0.012666667,0,0
124,511,1,1.120000076,0.018666668,0,0
125,803,1,1.080000051,0.018000001,0,0
126,740,1,1.120000076,0.018666668,0,0
127,338,1,5.280000305,0.088000005,0,0
128,824,1,2.840000153,0.047333336,0,0
128,831,1,2.840000153,0.047333336,0,0
129,825,1,3.400000254,0.056666671,0,0
129,830,1,3.400000254,0.056666671,0,0
130,826,1,3.800000254,0.063333338,0,0
130,829,1,3.800000254,0.063333338,0,0
131,779,1,1.120000076,0.018666668,0,0
132,1032,1,2.000000127,0.033333335,0,0
133,1033,1,2.000000127,0.033333335,0,0
134,241,1,2.000000127,0.033333335,0,0
135,353,1,2.000000127,0.033333335,0,0
136,335,1,2.000000127,0.033333335,0,0
136,348,1,2.000000127,0.033333335,0,0
137,324,1,2.000000127,0.033333335,0,0
138,1030,1,2.000000127,0.033333335,0,0
139,469,1,2.000000127,0.033333335,0,0
140,488,1,2.000000127,0.033333335,0,0
141,827,1,2.000000127,0.033333335,0,0
141,828,1,2.000000127,0.033333335,0,0
142,801,1,2.000000127,0.033333335,0,0
143,800,1,2.000000127,0.033333335,0,0
144,737,1,2.000000127,0.033333335,0,0
145,660,1,2.000000127,0.033333335,0,0
146,1031,1,2.000000127,0.033333335,0,0
147,872,1,1.560000038,0.026000001,0,0
147,1048,1,0.780000019,0.013,0,0
160,162,1,0.39093485,0.006515581,2.71E-20,5.5226
160,203,1,0.730434832,0.012173914,5.16E-14,4.4683
161,204,1,1.565217391,0.026086957,1.30E-10,3.5038
161,536,1,0.373937699,0.006232295,2.71E-20,5.5226
162,161,1,0.424929205,0.007082153,2.89E-21,5.5226
162,163,1,0.01,0.000166667,0,0
162,164,1,0.01,0.000166667,0,0
163,162,1,0.01,0.000166667,0,0
163,164,1,0.01,0.000166667,0,0
163,527,1,1.8,0.03,7.11E-17,5.1644
164,162,1,0.01,0.000166667,0,0
164,163,1,0.01,0.000166667,0,0
164,165,1,0.240740747,0.004012346,5.51E-17,4.9432
165,164,1,0.240740747,0.004012346,7.42E-18,4.9432
165,166,1,0.240740747,0.004012346,5.51E-17,4.9432
165,201,1,1.513043611,0.025217394,1.15E-11,3.5038
166,11,1,1.560000102,0.026000002,0,0
166,165,1,0.240740747,0.004012346,7.42E-18,4.9432
166,167,1,0.444444462,0.007407408,5.51E-17,4.9432
167,12,1,1.880000051,0.031333334,0,0
167,166,1,0.444444462,0.007407408,7.42E-18,4.9432
167,168,1,0.481481493,0.008024692,5.51E-17,4.9432
168,167,1,0.481481493,0.008024692,7.42E-18,4.9432
168,169,1,1.055555579,0.017592593,5.51E-17,4.9432
168,198,1,1.643478394,0.027391307,5.16E-14,4.4683
169,14,1,2.280000051,0.038000001,0,0
169,168,1,1.055555579,0.017592593,7.42E-18,4.9432
169,170,1,0.277777778,0.00462963,5.51E-17,4.9432
170,13,1,0.840000025,0.014,0,0
170,169,1,0.277777778,0.00462963,7.42E-18,4.9432
170,171,1,0.722222269,0.012037038,5.51E-17,4.9432
171,15,1,0.680000051,0.011333334,0,0
171,170,1,0.722222269,0.012037038,7.42E-18,4.9432
171,172,1,0.37037037,0.00617284,5.51E-17,4.9432
172,171,1,0.37037037,0.00617284,7.42E-18,4.9432
172,173,1,0.629629677,0.010493828,5.51E-17,4.9432
172,189,1,1.669565284,0.027826088,5.16E-14,4.4683
173,17,1,2.440000153,0.040666669,0,0
173,172,1,0.629629677,0.010493828,7.42E-18,4.9432
173,174,1,0.35185187,0.005864198,5.51E-17,4.9432
174,18,1,1.680000051,0.028000001,0,0
174,173,1,0.35185187,0.005864198,5.51E-17,4.9432
174,175,1,0.611111146,0.010185186,5.51E-17,4.9432
175,174,1,0.611111146,0.010185186,5.51E-17,4.9432
175,176,1,0.01,0.000166667,0,0
176,175,1,0.01,0.000166667,0,0
176,177,1,1.518518542,0.025308642,5.51E-17,4.9432
177,20,1,2.160000102,0.036000002,0,0
177,176,1,1.518518542,0.025308642,5.51E-17,4.9432
177,178,1,1.703703727,0.028395062,5.51E-17,4.9432
178,177,1,1.703703727,0.028395062,1.69E-15,4.9432
178,179,1,0.01,0.000166667,0,0
178,180,1,0.01,0.000166667,0,0
178,181,1,0.01,0.000166667,0,0
179,178,1,0.01,0.000166667,0,0
179,180,1,0.01,0.000166667,0,0
179,181,1,0.01,0.000166667,0,0
179,215,1,2.768116089,0.046135268,5.58E-24,6.5856
180,178,1,0.01,0.000166667,0,0
180,179,1,0.01,0.000166667,0,0
180,181,1,0.01,0.000166667,0,0
180,182,1,1.111111111,0.018518519,1.69E-15,4.9432
181,178,1,0.01,0.000166667,0,0
181,179,1,0.01,0.000166667,0,0
181,180,1,0.01,0.000166667,0,0
181,514,1,0.797101449,0.013285024,5.58E-24,6.5856
182,21,1,0.760000038,0.012666667,0,0
182,180,1,1.111111111,0.018518519,1.69E-15,4.9432
182,1032,1,0.327272727,0.005454545,2.30E-17,5.3443
183,20,1,2.520000203,0.042000003,0,0
183,184,1,0.965217424,0.016086957,1.30E-10,3.5038
184,183,1,0.965217424,0.016086957,1.30E-10,3.5038
184,185,1,0.01,0.000166667,0,0
185,184,1,0.01,0.000166667,0,0
185,186,1,1.043478261,0.017391304,1.30E-10,3.5038
186,18,1,2.440000153,0.040666669,0,0
186,185,1,1.043478261,0.017391304,1.30E-10,3.5038
186,187,1,0.756521805,0.012608697,1.30E-10,3.5038
187,17,1,2.440000153,0.040666669,0,0
187,186,1,0.756521805,0.012608697,1.30E-10,3.5038
187,188,1,0.626086981,0.010434783,1.30E-10,3.5038
188,187,1,0.626086981,0.010434783,1.30E-10,3.5038
188,189,1,1.486956555,0.024782609,5.16E-14,4.4683
188,190,1,0.886956588,0.01478261,1.30E-10,3.5038
188,220,1,1.434782609,0.023913043,5.16E-14,4.4683
189,15,1,0.24000001,0.004,0,0
189,172,1,1.669565284,0.027826088,5.16E-14,4.4683
189,188,1,1.486956555,0.024782609,5.16E-14,4.4683
190,19,1,1.880000051,0.031333334,0,0
190,188,1,0.886956588,0.01478261,1.30E-10,3.5038
190,191,1,0.939130451,0.015652174,1.30E-10,3.5038
191,14,1,2.280000051,0.038000001,0,0
191,190,1,0.939130451,0.015652174,1.30E-10,3.5038
191,192,1,0.782608696,0.013043478,1.30E-10,3.5038
192,191,1,0.782608696,0.013043478,1.30E-10,3.5038
192,193,1,0.01,0.000166667,0,0
192,194,1,0.01,0.000166667,0,0
193,192,1,0.01,0.000166667,0,0
193,194,1,0.01,0.000166667,0,0
193,224,1,0.759259271,0.012654321,1.69E-15,4.9432
194,192,1,0.01,0.000166667,0,0
194,193,1,0.01,0.000166667,0,0
194,195,1,0.600000008,0.01,1.15E-11,3.5038
195,16,1,1.880000051,0.031333334,0,0
195,194,1,0.600000008,0.01,1.30E-10,3.5038
195,196,1,0.365217416,0.006086957,1.15E-11,3.5038
196,195,1,0.365217416,0.006086957,1.30E-10,3.5038
196,198,1,1.200000017,0.02,5.16E-14,4.4683
196,209,1,1.643478394,0.027391307,1.30E-10,3.5038
197,14,1,1.120000076,0.018666668,0,0
197,198,1,1.22608699,0.020434783,5.16E-14,4.4683
198,168,1,1.643478394,0.027391307,5.16E-14,4.4683
198,196,1,1.200000017,0.02,5.16E-14,4.4683
198,197,1,1.22608699,0.020434783,5.16E-14,4.4683
198,199,1,0.339130443,0.005652174,2.33E-15,4.4683
199,12,1,1.2,0.02,0,0
199,198,1,0.339130443,0.005652174,5.16E-14,4.4683
199,200,1,0.600000008,0.01,5.16E-14,4.4683
200,11,1,1.560000102,0.026000002,0,0
200,199,1,0.600000008,0.01,5.16E-14,4.4683
200,201,1,0.313043491,0.005217392,2.33E-15,4.4683
201,165,1,1.513043611,0.025217394,1.15E-11,3.5038
201,200,1,0.313043491,0.005217392,5.16E-14,4.4683
201,202,1,0.573913077,0.009565218,5.16E-14,4.4683
201,206,1,0.417391321,0.006956522,2.33E-15,4.4683
202,201,1,0.573913077,0.009565218,5.16E-14,4.4683
202,203,1,0.600000008,0.01,5.16E-14,4.4683
203,160,1,0.730434832,0.012173914,5.16E-14,4.4683
203,202,1,0.600000008,0.01,5.16E-14,4.4683
203,204,1,0.156521745,0.002608696,5.16E-14,4.4683
203,207,1,0.834782642,0.013913044,5.16E-14,4.4683
204,161,1,1.565217391,0.026086957,1.30E-10,3.5038
204,203,1,0.156521745,0.002608696,5.16E-14,4.4683
204,205,1,0.156521745,0.002608696,5.16E-14,4.4683
205,204,1,0.156521745,0.002608696,5.16E-14,4.4683
205,208,1,0.965217424,0.016086957,2.33E-15,4.4683
205,839,1,0.475920712,0.007932012,1.25E-18,5.5226
206,201,1,0.417391321,0.006956522,5.16E-14,4.4683
206,207,1,0.469565226,0.007826087,2.33E-15,4.4683
207,203,1,0.834782642,0.013913044,5.16E-14,4.4683
207,206,1,0.469565226,0.007826087,5.16E-14,4.4683
207,208,1,0.313043491,0.005217392,2.33E-15,4.4683
207,354,1,0.52173913,0.008695652,1.30E-10,3.5038
208,205,1,0.965217424,0.016086957,2.33E-15,4.4683
208,207,1,0.313043491,0.005217392,5.16E-14,4.4683
208,211,1,0.52173913,0.008695652,2.33E-15,4.4683
208,260,1,1.128000031,0.018800001,1.98E-18,5.1644
209,196,1,1.643478394,0.027391307,1.30E-10,3.5038
209,210,1,0.01,0.000166667,0,0
210,209,1,0.01,0.000166667,0,0
210,354,1,0.443478294,0.007391305,1.30E-10,3.5038
211,208,1,0.52173913,0.008695652,2.33E-15,4.4683
211,1036,1,1.278260936,0.021304349,2.33E-15,4.4683
212,25,1,0.8,0.013333333,0,0
212,227,1,2.452173979,0.040869566,2.33E-15,4.4683
212,1037,1,0.313043491,0.005217392,2.33E-15,4.4683
213,21,1,3.760000102,0.062666668,0,0
213,214,1,0.654545455,0.010909091,6.74E-25,6.8677
213,1033,1,0.305454566,0.005090909,6.74E-25,6.8677
214,213,1,0.654545455,0.010909091,6.74E-25,6.8677
214,215,1,0.01,0.000166667,0,0
214,216,1,0.01,0.000166667,0,0
215,179,1,2.768116089,0.046135268,5.58E-24,6.5856
215,214,1,0.01,0.000166667,0,0
215,216,1,0.01,0.000166667,0,0
216,214,1,0.01,0.000166667,0,0
216,215,1,0.01,0.000166667,0,0
216,217,1,2.666666704,0.044444445,5.58E-24,6.5856
217,216,1,2.666666704,0.044444445,5.58E-24,6.5856
217,218,1,0.01,0.000166667,0,0
218,217,1,0.01,0.000166667,0,0
218,219,1,0.652173959,0.010869566,5.58E-24,6.5856
219,218,1,0.652173959,0.010869566,5.58E-24,6.5856
219,220,1,1.382608745,0.023043479,5.16E-14,4.4683
219,221,1,1.275362393,0.02125604,5.58E-24,6.5856
219,1049,1,1.320000076,0.022000001,5.22E-11,3.6544
220,19,1,1.280000051,0.021333334,0,0
220,188,1,1.434782609,0.023913043,5.16E-14,4.4683
220,219,1,1.382608745,0.023043479,5.16E-14,4.4683
221,219,1,1.275362393,0.02125604,5.58E-24,6.5856
221,222,1,0.01,0.000166667,0,0
221,223,1,0.01,0.000166667,0,0
222,221,1,0.01,0.000166667,0,0
222,223,1,0.01,0.000166667,0,0
222,224,1,1.703703727,0.028395062,1.69E-15,4.9432
223,221,1,0.01,0.000166667,0,0
223,222,1,0.01,0.000166667,0,0
223,225,1,0.753623207,0.012560387,5.58E-24,6.5856
224,16,1,1.320000076,0.022000001,0,0
224,193,1,0.759259271,0.012654321,1.69E-15,4.9432
224,222,1,1.703703727,0.028395062,1.69E-15,4.9432
225,28,1,1.480000051,0.024666668,0,0
225,223,1,0.753623207,0.012560387,5.58E-24,6.5856
225,226,1,0.884058026,0.0147343,1.36E-20,5.7894
226,225,1,0.884058026,0.0147343,5.58E-24,6.5856
226,227,1,0.01,0.000166667,0,0
226,228,1,0.01,0.000166667,0,0
226,229,1,0.01,0.000166667,0,0
227,212,1,2.452173979,0.040869566,2.33E-15,4.4683
227,226,1,0.01,0.000166667,0,0
227,228,1,0.01,0.000166667,0,0
227,229,1,0.01,0.000166667,0,0
228,226,1,0.01,0.000166667,0,0
228,227,1,0.01,0.000166667,0,0
228,229,1,0.01,0.000166667,0,0
228,230,1,0.611111146,0.010185186,5.51E-17,4.9432
229,226,1,0.01,0.000166667,0,0
229,227,1,0.01,0.000166667,0,0
229,228,1,0.01,0.000166667,0,0
229,249,1,0.434782609,0.007246377,5.58E-24,6.5856
230,228,1,0.611111146,0.010185186,5.51E-17,4.9432
230,231,1,1.425925949,0.023765432,5.51E-17,4.9432
231,230,1,1.425925949,0.023765432,5.51E-17,4.9432
231,232,1,0.01,0.000166667,0,0
232,231,1,0.01,0.000166667,0,0
232,233,1,0.481481493,0.008024692,5.51E-17,4.9432
233,29,1,0.520000013,0.008666667,0,0
233,232,1,0.481481493,0.008024692,5.51E-17,4.9432
233,234,1,0.462962992,0.00771605,5.51E-17,4.9432
234,233,1,0.462962992,0.00771605,5.51E-17,4.9432
234,235,1,0.01,0.000166667,0,0
235,234,1,0.01,0.000166667,0,0
235,236,1,0.703703739,0.011728396,5.51E-17,4.9432
236,235,1,0.703703739,0.011728396,5.51E-17,4.9432
236,237,1,0.886956588,0.01478261,5.16E-14,4.4683
236,239,1,2.448000031,0.040800001,1.98E-18,5.1644
236,245,1,0.965217424,0.016086957,5.16E-14,4.4683
237,31,1,3.800000254,0.063333338,0,0
237,236,1,0.886956588,0.01478261,5.16E-14,4.4683
237,238,1,1.095652207,0.01826087,5.16E-14,4.4683
238,28,1,1.880000051,0.031333334,0,0
238,237,1,1.095652207,0.01826087,5.16E-14,4.4683
238,1050,1,2.460000102,0.041000002,5.22E-11,3.6544
239,31,1,1.640000025,0.027333334,0,0
239,236,1,2.448000031,0.040800001,1.98E-18,5.1644
239,240,1,0.286956538,0.004782609,1.30E-10,3.5038
240,30,1,1.040000025,0.017333334,0,0
240,239,1,0.286956538,0.004782609,1.30E-10,3.5038
240,242,1,5.426087089,0.090434785,5.16E-14,4.4683
241,134,1,2.000000127,0.033333335,0,0
241,242,1,0.480000028,0.008,2.30E-17,5.3443
241,353,1,5.565217612,0.092753627,5.58E-24,6.5856
242,240,1,5.426087089,0.090434785,5.16E-14,4.4683
242,241,1,0.480000028,0.008,2.30E-17,5.3443
242,243,1,2.608695836,0.043478264,7.49E-19,5.7894
243,32,1,0.520000013,0.008666667,0,0
243,242,1,2.608695836,0.043478264,7.49E-19,5.7894
243,244,1,1.376811686,0.022946861,7.49E-19,5.7894
244,243,1,1.376811686,0.022946861,7.49E-19,5.7894
244,245,1,0.808695669,0.013478261,5.16E-14,4.4683
244,246,1,0.463768134,0.007729469,6.35E-16,5.0906
244,349,1,1.925925973,0.032098766,1.69E-15,4.9432
245,30,1,3.920000203,0.065333337,0,0
245,236,1,0.965217424,0.016086957,5.16E-14,4.4683
245,244,1,0.808695669,0.013478261,5.16E-14,4.4683
246,244,1,0.463768134,0.007729469,6.35E-16,5.0906
246,247,1,0.01,0.000166667,0,0
247,246,1,0.01,0.000166667,0,0
247,248,1,1.347826161,0.022463769,6.35E-16,5.0906
248,27,1,1.520000076,0.025333335,0,0
248,247,1,1.347826161,0.022463769,6.35E-16,5.0906
248,252,1,1.318840635,0.021980677,6.35E-16,5.0906
249,229,1,0.434782609,0.007246377,1.36E-20,5.7894
249,250,1,0.01,0.000166667,0,0
250,249,1,0.01,0.000166667,0,0
250,251,1,0.869565217,0.014492754,5.58E-24,6.5856
251,250,1,0.869565217,0.014492754,5.58E-24,6.5856
251,252,1,0.01,0.000166667,0,0
251,253,1,0.01,0.000166667,0,0
251,254,1,0.01,0.000166667,0,0
252,248,1,1.318840635,0.021980677,6.35E-16,5.0906
252,251,1,0.01,0.000166667,0,0
252,253,1,0.01,0.000166667,0,0
252,254,1,0.01,0.000166667,0,0
253,251,1,0.01,0.000166667,0,0
253,252,1,0.01,0.000166667,0,0
253,254,1,0.01,0.000166667,0,0
253,284,1,0.405797129,0.006763285,5.58E-24,6.5856
254,251,1,0.01,0.000166667,0,0
254,252,1,0.01,0.000166667,0,0
254,253,1,0.01,0.000166667,0,0
254,255,1,0.834782642,0.013913044,5.16E-14,4.4683
255,254,1,0.834782642,0.013913044,5.16E-14,4.4683
255,256,1,1.12173918,0.018695653,5.16E-14,4.4683
255,283,1,0.991304398,0.01652174,5.16E-14,4.4683
256,255,1,1.12173918,0.018695653,5.16E-14,4.4683
256,257,1,1.982608795,0.03304348,5.16E-14,4.4683
256,283,1,0.991304398,0.01652174,5.16E-14,4.4683
257,26,1,1.800000127,0.030000002,0,0
257,256,1,1.982608795,0.03304348,5.16E-14,4.4683
257,258,1,0.547826104,0.009130435,5.16E-14,4.4683
258,257,1,0.547826104,0.009130435,5.16E-14,4.4683
258,281,1,2.139130468,0.035652174,5.16E-14,4.4683
258,1038,1,0.704347859,0.011739131,2.33E-15,4.4683
259,260,1,0.469565226,0.007826087,2.33E-15,4.4683
259,1038,1,0.01,0.000166667,0,0
259,1047,1,0.01,0.000166667,0,0
260,26,1,2.280000051,0.038000001,0,0
260,208,1,1.128000031,0.018800001,1.98E-18,5.1644
260,259,1,0.469565226,0.007826087,2.33E-15,4.4683
261,262,1,0.792000046,0.013200001,1.98E-18,5.1644
261,278,1,1.12173918,0.018695653,1.30E-10,3.5038
261,1047,1,0.888000031,0.014800001,1.98E-18,5.1644
262,22,1,0.680000051,0.011333334,0,0
262,261,1,0.792000046,0.013200001,1.98E-18,5.1644
