from,to,demand
3,244,1800
3,245,300
4,1,900
4,2,900
4,3,3300
4,5,600
4,7,300
4,9,300
4,10,600
4,14,300
4,17,300
4,18,300
4,19,300
4,20,300
4,22,300
4,25,300
4,26,600
4,27,600
4,33,300
4,34,600
4,40,300
4,41,600
4,44,300
4,50,300
4,52,300
4,59,300
4,66,300
4,67,300
4,69,300
4,70,600
4,72,1200
4,74,300
4,76,300
4,90,300
4,157,300
4,158,900
4,159,1200
4,162,300
4,167,1200
4,169,2100
4,170,2100
4,174,600
4,175,300
4,176,600
4,178,300
4,180,1500.000001
4,181,300
4,184,300
4,185,3900
4,190,600
4,191,600
4,192,300
4,193,10200
4,194,4800
4,195,15900
4,196,21300
4,197,9600
4,198,6900
4,199,2700
4,200,1500.000001
4,201,8700
4,202,300
4,203,8100
4,204,6000
4,205,1500.000001
4,206,9900
4,207,10800
4,208,600
4,209,600
4,210,3900
4,211,1800
4,212,600
4,213,2100
4,214,1200
4,215,300
4,216,900
4,217,1200
4,218,2100
4,219,300
4,220,21900
4,221,300
4,222,600
4,224,2700
4,226,300
4,229,1200
4,230,1200
4,231,3900
4,232,1200
4,233,1500.000001
4,234,600
4,235,1200
4,237,1200
4,238,900
4,239,300
4,240,600
4,241,300
4,242,300
4,244,600
5,2,300
5,3,300
5,4,300
5,8,300
5,9,300
5,10,300
5,14,300
5,16,300
5,18,300
5,20,600
5,22,300
5,25,300
5,26,600
5,29,300
5,34,300
5,40,300
5,41,300
5,45,300
5,60,300
5,66,300
5,67,300
5,68,300
5,70,300
5,72,300
5,74,900
5,75,300
5,80,300
5,93,300
5,158,600
5,159,300
5,164,300
5,165,300
5,167,600
5,168,1800
5,169,2100
5,170,900
5,171,300
5,174,900
5,178,300
5,180,300
5,181,300
5,184,1200
5,185,4500.000001
5,190,600
5,191,300
5,192,300
5,193,6900
5,194,3000
5,195,9300
5,196,15900
5,197,11100
5,198,5400
5,199,2400
5,200,900
5,201,5700
5,202,600
5,203,3600
5,204,3600
5,205,600
5,206,3900
5,207,4800
5,209,600
5,210,3900
5,211,2700
5,212,900
5,213,900
5,214,1200
5,215,300
5,216,900
5,217,3900
5,218,2100
5,219,300
5,220,9900
5,221,600
5,222,600
5,224,1200
5,225,300
5,226,300
5,228,600
5,229,900
5,230,900
5,231,3300
5,232,600
5,233,900
5,234,300
5,235,300
5,237,600
5,238,300
5,240,900
5,241,300
5,244,600
5,245,300
6,1,300
6,5,300
6,8,600
6,10,300
6,11,300
6,12,300
6,17,300
6,18,300
6,20,300
6,22,300
6,26,300
6,45,300
6,50,300
6,53,600
6,66,300
6,70,300
6,87,300
6,98,6900
6,158,300
6,164,300
6,168,900
6,169,1200
6,180,300
6,184,5400
6,185,300
6,186,300
6,192,300
6,193,2700
6,194,600
6,195,1800
6,196,4200
6,197,2400
6,198,3900
6,199,600
6,200,1200
6,201,600
6,202,300
6,203,600
6,204,300
6,205,300
6,206,1500.000001
6,207,1200
6,208,300
6,211,900
6,213,300
6,214,900
6,215,900
6,216,900
6,217,900
6,218,900
6,220,2100
6,221,300
6,224,300
6,225,600
6,229,300
6,230,300
6,231,900
6,233,300
6,234,300
6,235,300
6,236,600
6,237,300
6,238,900
6,242,300
7,1,300
7,2,300
7,5,300
7,6,300
7,8,900
7,9,600
7,10,900
7,11,300
7,20,300
7,26,300
7,34,300
7,41,300
7,43,300
7,50,300
7,53,300
7,55,300
7,67,300
7,68,300
7,72,300
7,74,300
7,83,300
7,134,5100
7,158,900
7,162,300
7,163,300
7,164,600
7,167,600
7,168,900
7,169,2400
7,171,600
7,174,600
7,176,300
7,180,300
7,184,5400
7,185,2100
7,186,900
7,190,300
7,191,300
7,192,300
7,193,5100
7,194,1200
7,195,4200
7,196,8400
7,197,5100
7,198,4800
7,199,1800
7,200,1200
7,201,3000
7,202,300
7,203,2400
7,204,1200
7,205,900
7,206,2400
7,207,3300
7,209,300
7,210,1500.000001
7,211,600
7,212,600
7,213,1500.000001
7,214,2400
7,215,1200
7,216,2100
7,217,2400
7,218,1800
7,219,300
7,220,6000
7,222,900
7,224,300
7,225,900
7,226,600
7,228,300
7,229,1200
7,230,300
7,231,2100
7,232,600
7,233,900
7,235,300
7,238,300
7,241,300
7,242,300
7,243,300
7,244,300
7,245,300
8,1,300
8,2,300
8,4,300
8,5,600
8,7,900
8,9,1200
8,10,2100
8,11,900
8,14,300
8,16,300
8,17,300
8,18,300
8,20,600
8,25,300
8,26,300
8,27,300
8,29,300
8,34,600
8,41,300
8,43,300
8,45,300
8,50,300
8,53,300
8,60,300
8,66,300
8,70,300
8,72,300
8,74,300
8,90,300
8,95,11100
8,156,300
8,157,1200
8,158,600
8,160,300
8,162,900
8,168,900
8,169,3000
8,171,2100
8,174,300
8,180,1500.000001
8,183,600
8,184,5100
8,185,2100
8,186,300
8,188,900
8,190,300
8,193,6000
8,194,2100
8,195,6000
8,196,8700
8,197,4200
8,198,5700
8,199,2100
8,200,2400
8,201,3900
8,202,600
8,203,2100
8,204,2400
8,205,600
8,206,2400
8,207,4500.000001
8,208,300
8,209,600
8,210,1800
8,211,1200
8,212,900
8,213,900
8,214,1500.000001
8,215,900
8,216,1500.000001
8,217,2700
8,218,2700
8,219,300
8,220,8700
8,221,300
8,222,300
8,224,900
8,225,1200
8,226,900
8,227,300
8,228,300
8,229,2100
8,230,300
8,231,2400
8,232,900
8,233,600
8,235,600
8,237,300
8,238,300
8,240,600
8,241,300
8,242,600
8,244,600
9,2,300
9,10,300
9,15,300
9,60,300
9,70,300
9,158,600
9,162,300
9,184,600
9,185,300
9,193,600
9,194,300
9,195,600
9,196,300
9,197,1500.000001
9,198,300
9,199,300
9,201,600
9,203,300
9,206,300
9,211,300
9,215,300
9,217,300
9,218,300
9,220,600
9,222,300
9,229,300
9,239,300
10,1,600
10,2,900
10,3,600
10,5,600
10,6,300
10,7,1200
10,8,2400
10,9,3300
10,11,900
10,12,2100
10,14,600
10,16,300
10,17,600
10,18,300
10,19,300
10,20,300
10,22,300
10,24,300
10,25,300
10,26,900
10,27,300
10,29,300
10,31,300
10,34,600
10,40,300
10,41,600
10,45,300
10,49,300
10,50,300
10,53,1800
10,54,600
10,55,300
10,56,300
10,65,300
10,66,900
10,67,900
10,70,600
10,71,300
10,72,900
10,74,300
10,76,300
10,80,300
10,90,300
10,93,600
10,96,2700
10,157,1500.000001
10,158,3900
10,160,300
10,162,1500.000001
10,163,300
10,164,1500.000001
10,168,1500.000001
10,169,5400
10,171,5100
10,174,900
10,175,300
10,176,300
10,177,300
10,178,900
10,180,300
10,183,1200
10,184,11700
10,185,4500.000001
10,186,300
10,188,300
10,191,300
10,192,900
10,193,12600
10,194,3900
10,195,10800
10,196,19200
10,197,10800
10,198,12300
10,199,3900
10,200,2400
10,201,8100
10,202,600
10,203,4800
10,204,3900
10,205,1500.000001
10,206,8400
10,207,9900
10,208,300
10,209,900
10,210,3600
10,211,1800
10,212,1800
10,213,3300
10,214,2700
10,215,1800
10,216,3000
10,217,6300
10,218,5100
10,219,900
10,220,18300
10,221,300
10,222,2400
10,223,300
10,224,1800
10,225,2400
10,226,2400
10,228,1200
10,229,6600
10,230,900
10,231,6000
10,232,1500.000001
10,233,2400
10,234,900
10,235,900
10,237,600
10,238,900
10,239,300
10,240,600
10,241,600
10,242,600
10,243,300
10,244,600
10,245,600
11,2,300
11,3,300
11,7,600
11,8,900
11,9,600
11,10,900
11,12,900
11,15,300
11,16,300
11,17,300
11,18,300
11,19,300
11,26,300
11,34,300
11,40,300
11,41,300
11,53,600
11,54,300
11,60,600
11,66,300
11,70,300
11,72,300
11,74,300
11,95,9000
11,157,600
11,158,900
11,160,300
11,162,600
11,163,300
11,164,300
11,168,1500.000001
11,169,2400
11,171,2100
11,172,300
11,175,300
11,183,300
11,184,6900
11,185,2700
11,192,300
11,193,5700
11,194,1800
11,195,4800
11,196,6900
11,197,3900
11,198,4500.000001
11,199,2700
11,200,600
11,201,2700
11,202,600
11,203,1800
11,204,1200
11,205,600
11,206,3600
11,207,3900
11,210,1800
11,211,900
11,212,1200
11,213,900
11,214,1800
11,215,1200
11,216,1200
11,217,3000
11,218,2700
11,219,600
11,220,8100
11,221,300
11,222,600
11,224,600
11,225,1200
11,226,600
11,227,300
11,228,300
11,229,2400
11,230,600
11,231,2400
11,232,600
11,233,900
11,235,300
11,237,600
11,238,300
11,240,600
11,241,300
11,242,300
11,243,300
12,1,300
12,2,300
12,7,900
12,8,1200
12,9,900
12,10,1200
12,11,600
12,13,300
12,14,600
12,17,300
12,19,300
12,20,300
12,22,600
12,25,300
12,26,300
12,27,300
12,34,300
12,40,300
12,41,300
12,50,300
12,53,600
12,54,300
12,55,600
12,66,300
12,70,300
12,85,300
12,93,600
12,96,300
12,164,300
12,168,2100
12,169,3000
12,171,2400
12,174,300
12,175,300
12,178,300
12,180,600
12,183,300
12,184,6300
12,185,300
12,186,600
12,190,300
12,191,600
12,192,600
12,193,6900
12,194,2100
12,195,5100
12,196,9000
12,197,4200
12,198,6000
12,199,3000
12,200,1500.000001
12,201,4200
12,202,300
12,203,2100
12,204,900
12,205,600
12,206,3600
12,207,3600
12,210,1500.000001
12,211,600
12,212,300
12,213,600
12,214,1200
12,215,900
12,216,1500.000001
12,217,1800
12,218,2400
12,219,300
12,220,5700
12,221,600
12,222,600
12,223,300
12,224,600
12,225,1500.000001
12,226,600
12,228,300
12,229,1500.000001
12,230,300
12,231,2400
12,232,300
12,233,600
12,234,300
12,236,300
12,237,600
12,238,300
12,240,300
12,243,300
12,244,300
12,245,300
13,1,300
13,4,300
13,9,300
13,10,300
13,19,600
13,20,300
13,29,300
13,41,300
13,44,300
13,48,300
13,53,900
13,57,600
13,66,300
13,67,300
13,123,3000
13,157,300
13,158,600
13,162,300
13,163,1200
13,164,600
13,168,900
13,169,900
13,171,3000
13,174,600
13,175,300
13,176,300
13,178,300
13,184,2400
13,185,300
13,191,300
13,193,4200
13,194,1500.000001
13,195,3000
13,196,2700
13,197,2700
13,198,1800
13,199,900
13,200,900
13,201,2400
13,203,600
13,204,300
13,206,300
13,207,1200
13,210,600
13,211,300
13,213,900
13,214,600
13,215,300
13,216,600
13,217,600
13,218,900
13,220,1800
13,222,600
13,223,1200
13,224,300
13,225,12600
13,226,300
13,228,300
13,229,600
13,230,300
13,231,300
13,233,300
13,238,600
13,239,300
13,242,600
13,243,300
13,244,300
14,9,600
14,10,300
14,11,300
14,12,300
14,15,1200
14,16,900
14,17,1200
14,18,600
14,19,300
14,20,300
14,22,300
14,25,300
14,29,300
14,34,600
14,38,300
14,41,300
14,48,300
14,50,300
14,53,600
14,54,300
14,56,300
14,57,300
14,60,300
14,61,300
14,65,300
14,69,300
14,70,300
14,72,300
14,157,1200
14,158,900
14,161,1200
14,163,1800
14,164,1500.000001
14,165,300
14,168,1500.000001
14,169,1200
14,171,1200
14,174,300
14,175,300
14,176,600
14,180,300
14,183,600
14,184,4500.000001
14,185,2100
14,186,300
14,190,300
14,191,600
14,192,600
14,193,5100
14,194,900
14,195,3600
14,196,4500.000001
14,197,2700
14,198,1800
14,199,300
14,200,900
14,201,1800
14,203,1200
14,204,600
14,205,300
14,206,600
14,207,1200
14,209,300
14,210,900
14,211,900
14,212,600
14,213,300
14,214,900
14,215,300
14,216,600
14,217,300
14,218,900
14,220,3900
14,222,13800
14,223,300
14,224,300
14,225,900
14,226,11100
14,227,2700
14,228,6600
14,229,6900
14,230,900
14,231,2100
14,232,600
14,233,300
14,234,300
14,235,600
14,237,300
14,239,600
14,242,600
14,243,300
14,245,300
15,3,300
15,8,300
15,9,300
15,10,600
15,12,300
15,14,3300
15,16,1200
15,17,1200
15,18,1800
15,19,300
15,20,300
15,21,300
15,22,900
15,23,300
15,25,300
15,26,300
15,29,300
15,31,300
15,34,600
15,38,300
15,48,600
15,53,600
15,55,300
15,61,600
15,65,600
15,66,600
15,67,300
15,70,600
15,71,300
15,72,900
15,119,2400
15,157,600
15,158,1500.000001
15,160,300
15,162,12000
15,163,300
15,164,900
15,168,1500.000001
15,169,1500.000001
15,171,3300
15,174,900
15,175,600
15,176,300
15,178,900
15,179,300
15,180,900
15,182,300
15,183,300
15,184,2100
15,185,6900
15,186,300
15,188,900
15,190,300
15,191,1200
15,192,300
15,193,6600
15,194,1800
15,195,6000
15,196,6600
15,197,3600
15,198,4500.000001
15,199,3300
15,200,1500.000001
15,201,3000
15,202,300
15,203,2100
15,204,1500.000001
15,206,2100
15,207,3000
15,209,300
15,210,1500.000001
15,211,1200
15,213,600
15,214,1200
15,216,1200
15,217,1500.000001
15,218,1200
15,219,300
15,220,5400
15,221,300
15,222,22200
15,224,1200
15,225,300
15,226,26100
15,227,10200
15,228,7500.000001
15,229,19200
15,230,1800
15,231,3900
15,232,1200
15,233,900
15,235,600
15,237,300
15,238,300
15,239,300
15,240,300
15,242,1500.000001
15,243,300
15,245,300
16,3,300
16,5,600
16,6,300
16,7,600
16,8,300
16,9,300
16,10,300
16,14,2100
16,15,600
16,17,6300
16,18,600
16,19,300
16,25,300
16,26,300
16,29,300
16,38,300
16,41,300
16,42,300
16,45,300
16,48,300
16,49,300
16,51,300
16,53,300
16,56,300
16,57,300
16,58,300
16,59,300
16,60,300
16,65,300
16,66,300
16,67,300
16,70,300
16,71,300
16,72,600
16,75,300
16,78,300
16,122,4500.000001
16,157,5400
16,158,5700
16,161,8100
16,163,1500.000001
16,168,2100
16,169,900
16,171,5700
16,175,900
16,176,900
16,179,300
16,184,1500.000001
16,185,6600
16,188,1200
16,190,600
16,191,900
16,192,600
16,193,6600
16,194,1800
16,195,6300
16,196,7200
16,197,4200
16,198,3300
16,199,600
16,200,1200
16,201,3600
16,203,2100
16,204,1200
16,205,300
16,206,1800
16,207,3000
16,210,1800
16,211,900
16,212,300
16,213,900
16,214,600
16,215,300
16,216,900
16,217,1200
16,218,600
16,220,6300
16,221,300
16,222,11700
16,223,300
16,224,1200
16,225,600
16,226,14400
16,227,3900
16,228,33000
16,229,8700
16,230,900
16,231,3600
16,232,1200
16,233,900
16,235,300
16,237,300
16,238,300
16,241,600
16,242,1800
16,243,1200
16,244,300
17,2,300
17,3,600
17,9,300
17,10,300
17,12,300
17,14,2100
17,15,600
17,16,3900
17,18,300
17,19,300
17,20,300
17,22,300
17,27,300
17,31,300
17,38,300
17,53,300
17,54,600
17,56,300
17,57,300
17,65,300
17,66,300
17,70,300
17,71,300
17,72,300
17,74,300
17,80,300
17,122,1800
17,157,600
17,158,900
17,161,1500.000001
17,163,600
17,164,1200
17,168,2400
17,169,900
17,171,5400
17,175,300
17,176,300
17,184,2100
17,185,2700
17,191,600
17,192,300
17,193,3000
17,194,900
17,195,2700
17,196,3600
17,197,1500.000001
17,198,1800
17,199,1500.000001
17,200,900
17,201,900
17,203,600
17,204,900
17,205,300
17,206,1200
17,207,1500.000001
17,210,600
17,211,300
17,214,600
17,215,300
17,216,300
17,217,900
17,218,300
17,220,2700
17,221,300
17,222,7800
17,224,300
17,225,900
17,226,8100
17,227,2400
17,228,20100
17,229,5100
17,230,600
17,231,1800
17,233,1200
17,235,300
17,237,300
17,241,600
17,242,600
17,244,300
18,5,300
18,6,300
18,9,300
18,10,300
18,11,300
18,13,300
18,14,600
18,15,600
18,16,300
18,17,300
18,19,600
18,20,300
18,22,1200
18,23,300
18,25,300
18,26,300
18,27,300
18,29,300
18,34,300
18,38,300
18,45,300
18,52,300
18,53,300
18,61,300
18,67,300
18,68,300
18,70,300
18,72,600
18,74,300
18,119,2400
18,156,600
18,157,300
18,158,1200
18,160,300
18,162,3600
18,163,300
18,164,900
18,168,1800
18,169,1200
18,171,3000
18,172,300
18,174,1200
18,176,300
18,177,300
18,178,300
18,180,2700
18,183,1500.000001
18,184,1800
18,185,5400
18,186,600
18,188,900
18,191,600
18,192,600
18,193,7200
18,194,1800
18,195,5100
18,196,6300
18,197,3600
18,198,3000
18,199,1800
18,200,300
18,201,3000
18,202,300
18,203,1800
18,204,1500.000001
18,205,600
18,206,2100
18,207,3000
18,210,1500.000001
18,211,900
18,212,600
18,213,600
18,214,600
18,215,900
18,216,300
18,217,900
18,218,1500.000001
18,220,6300
18,221,300
18,222,4800
18,224,600
18,225,300
18,226,7800
18,227,2100
18,228,1800
18,229,48000
18,230,2100
18,231,3600
18,232,900
18,233,1200
18,234,300
18,235,300
18,237,300
18,238,300
18,239,300
18,240,1500.000001
18,241,600
18,242,300
18,244,300
19,1,600
19,2,300
19,3,300
19,4,300
19,5,600
19,6,300
19,7,300
19,8,300
19,9,600
19,10,300
19,11,300
19,12,600
19,14,300
19,16,300
19,17,300
19,18,600
19,20,1800
19,21,300
19,22,1800
19,23,300
19,24,300
19,25,2700
19,26,2100
19,27,300
19,29,300
19,30,300
19,33,300
19,34,1500.000001
19,38,600
19,39,600
19,40,300
19,41,1500.000001
19,42,300
19,45,300
19,48,300
19,49,300
19,50,300
19,51,300
19,52,300
19,53,300
19,65,1200
19,66,900
19,67,300
19,68,300
19,69,600
19,70,1800
19,72,1200
19,74,600
19,80,300
19,83,300
19,86,300
19,87,300
19,92,300
19,118,9600
19,156,900
19,158,2400
19,159,1800
19,160,300
19,162,6600
19,163,300
19,164,900
19,165,600
19,167,900
19,168,2400
19,169,2700
19,170,600
19,171,2700
19,174,1500.000001
19,175,300
19,176,1500.000001
19,178,300
19,179,300
19,180,8400
19,181,900
19,183,1500.000001
19,184,2100
19,185,13200
19,188,600
19,190,600
19,191,2700
19,192,1200
19,193,15900
19,194,6300
19,195,17100
19,196,18000
19,197,11700
19,198,7800
19,199,3300
19,200,1800
19,201,7200
19,202,300
19,203,5100
19,204,3600
19,205,1500.000001
19,206,6900
19,207,9600
19,208,600
19,210,6600
19,211,2700
19,212,600
19,213,1200
19,214,600
19,215,1200
19,216,1200
19,217,3600
19,218,3300
19,219,300
19,220,15900
19,221,600
19,222,3300
19,224,3900
19,225,1500.000001
19,226,4500.000001
19,227,600
19,228,1500.000001
19,229,20700
19,230,8100
19,231,20700
19,232,5400
19,233,4500.000001
19,234,900
19,235,2400
19,236,300
19,237,1200
19,238,1200
19,239,1200
19,240,900
19,241,600
19,242,600
19,243,300
19,244,300
19,245,600
20,2,300
20,3,300
20,5,300
20,8,900
20,9,300
20,10,300
20,11,300
20,15,300
20,16,300
20,18,300
20,19,1800
20,21,1200
20,22,3900
20,23,300
20,24,300
20,25,1200
20,26,1800
20,27,600
20,29,300
20,30,300
20,34,600
20,40,300
20,41,300
20,47,300
20,48,300
20,49,300
20,68,300
20,69,600
20,70,600
20,72,900
20,74,600
20,117,4500.000001
20,157,300
20,158,2700
20,162,1200
20,163,300
20,164,300
20,167,300
20,168,300
20,169,900
20,171,2700
20,174,900
20,175,300
20,177,300
20,178,600
20,180,3300
20,183,1500.000001
20,184,1200
20,185,5700
20,191,300
20,192,900
20,193,6300
20,194,3000
20,195,7800
20,196,9000
20,197,5400
20,198,2400
20,199,1800
20,200,900
20,201,2400
20,202,300
20,203,2100
20,204,1200
20,205,900
20,206,3000
20,207,4200
20,208,300
20,210,3900
20,211,900
20,212,600
20,213,900
20,214,900
20,215,300
20,216,1200
20,217,2400
20,218,1200
20,220,6300
20,222,2400
20,224,1200
20,225,300
20,226,2100
20,227,900
20,228,600
20,229,14400
20,230,25800
20,231,8100
20,232,2700
20,233,2100
20,235,600
20,237,300
20,238,600
20,240,300
20,242,600
20,243,300
20,244,600
21,2,300
21,6,300
21,8,300
21,10,300
21,14,300
21,19,300
21,20,900
21,22,19500
21,23,1500.000001
21,24,900
21,25,600
21,26,1500.000001
21,27,300
21,29,900
21,31,300
21,34,600
21,41,600
21,45,300
21,57,300
21,67,300
21,69,300
21,70,600
21,71,300
21,72,300
21,74,300
21,88,300
21,93,300
21,117,1800
21,158,1200
21,159,300
21,162,300
21,163,300
21,167,300
21,168,300
21,171,600
21,174,300
21,176,300
21,180,600
21,183,900
21,184,900
21,185,2100
21,190,600
21,192,600
21,193,2100
21,194,1200
21,195,2400
21,196,3600
21,197,1800
21,198,1800
21,199,600
21,201,2100
21,203,1200
21,204,1200
21,205,600
21,206,2400
21,207,2700
21,210,1200
21,211,300
21,212,600
21,213,600
21,214,600
21,215,600
21,216,300
21,217,600
21,218,900
21,220,3600
21,221,300
21,222,600
21,224,600
21,226,600
21,228,300
21,229,2400
21,230,3000
21,231,3900
21,232,1500.000001
21,233,2100
21,234,600
21,235,1200
21,237,300
21,239,300
21,244,300
22,1,300
22,2,300
22,3,300
22,5,600
22,8,300
22,9,300
22,10,300
22,11,300
22,14,300
22,15,300
22,17,300
22,18,300
22,19,900
22,20,1200
22,21,9300
22,23,5700
22,24,2700
22,25,1500.000001
22,26,5700
22,27,2400
22,28,300
22,29,2100
22,30,300
22,31,300
22,34,2700
22,39,300
22,40,600
22,41,1200
22,42,300
22,48,600
22,54,300
22,65,300
22,66,300
22,67,300
22,68,300
22,69,300
22,70,600
22,72,1500.000001
22,74,300
22,75,600
22,80,300
22,83,300
22,91,300
22,92,600
22,117,6000
22,156,600
22,158,2700
22,159,300
22,162,1200
22,163,300
22,164,300
22,167,300
22,168,1500.000001
22,169,1200
22,171,2400
22,175,600
22,176,600
22,178,900
22,179,300
22,180,3000
22,181,300
22,183,6000
22,184,1500.000001
22,185,5400
22,188,300
22,190,900
22,191,900
22,192,1500.000001
22,193,7500.000001
22,194,3300
22,195,8700
22,196,10500
22,197,6600
22,198,4200
22,199,2100
22,200,900
22,201,4200
22,203,3000
22,204,2100
22,205,900
22,206,6600
22,207,8100
22,208,900
22,209,600
22,210,3000
22,211,1200
22,212,300
22,213,1800
22,214,600
22,215,300
22,216,900
22,217,1800
22,218,1800
22,219,300
22,220,11100
22,222,1200
22,224,1800
22,226,2100
22,227,300
22,228,600
22,229,6600
22,230,7800
22,231,12000
22,232,4500.000001
22,233,6900
22,234,1800
22,235,6600
22,236,300
22,237,900
22,239,600
22,240,600
22,241,300
22,242,300
22,244,1200
22,245,300
23,2,300
23,3,300
23,7,300
23,19,300
23,21,2100
23,22,15900
23,24,900
23,25,300
23,26,1200
23,27,900
23,29,1200
23,30,300
23,33,300
23,34,600
23,40,300
23,41,300
23,45,300
23,66,300
23,67,300
23,68,300
23,70,600
23,72,300
23,74,300
23,76,300
23,89,300
23,92,300
23,93,300
23,110,1800
23,158,600
23,159,600
23,162,900
23,167,300
23,168,300
23,169,600
23,171,900
23,176,300
23,180,300
23,181,300
23,183,1800
23,184,300
23,185,1200
23,190,300
23,191,600
23,192,600
23,193,3300
23,194,900
23,195,3600
23,196,3900
23,197,1800
23,198,1800
23,199,600
23,200,300
23,201,600
23,203,300
23,204,900
23,205,300
23,206,1800
23,207,2700
23,208,300
23,209,300
23,210,1200
23,211,300
23,212,600
23,214,300
23,216,300
23,217,1200
23,218,300
23,219,300
23,220,3000
23,222,300
23,224,600
23,226,900
23,228,600
23,229,1800
23,230,2100
23,231,3300
23,232,1200
23,233,2100
23,234,600
23,235,2100
23,237,300
23,239,300
23,240,300
23,244,300
23,245,300
24,8,600
24,14,300
24,19,300
24,21,1200
24,22,9300
24,23,900
24,25,600
24,26,1200
24,27,600
24,29,300
24,34,300
24,41,300
24,48,300
24,57,300
24,74,300
24,92,300
24,115,300
24,158,300
24,162,300
24,168,900
24,169,900
24,170,600
24,171,300
24,178,300
24,180,600
24,183,1200
24,184,600
24,185,1500.000001
24,190,600
24,192,900
24,193,2400
24,194,900
24,195,2700
24,196,4800
24,197,2700
24,198,1200
24,199,300
24,200,300
24,201,1800
24,203,1500.000001
24,204,600
24,205,300
24,206,2100
24,207,1800
24,208,300
24,209,300
24,210,1800
24,211,600
24,214,600
24,216,300
24,217,300
24,218,600
24,220,2400
24,224,600
24,226,300
24,229,1800
24,230,1500.000001
24,231,3900
24,232,1500.000001
24,233,1500.000001
24,234,300
24,235,1200
24,236,300
24,237,600
