NODEID,LONG,LAT
110,-115.594421,32.79628
111,-115.551277,32.766659
112,-115.551277,32.76506
113,-115.497849,32.678749
114,-115.497475,32.66618
115,-115.496378,32.66487
116,-115.495769,32.664917
117,-115.497543,32.66753
118,-115.493872,32.66504
119,-115.498016,32.681568
120,-115.499367,32.701775
121,-115.464218,32.686386
122,-115.499901,32.73045
123,-115.500609,32.770559
124,-115.377541,32.6936
125,-115.377457,32.686504
126,-115.386438,32.672492
127,-115.377298,32.673118
128,-115.336105,32.693813
129,-115.37809,32.772896
130,-115.574812,32.773499
131,-115.569077,32.79631
132,-115.568787,32.773499
133,-115.568794,32.777363
134,-115.562643,32.773531
135,-115.556749,32.77357
136,-115.551727,32.792652
137,-115.551407,32.773628
138,-115.551376,32.770581
139,-115.551528,32.776403
140,-115.54626,32.773596
141,-115.569168,32.825367
142,-115.553703,32.956043
143,-115.525711,32.773705
144,-115.526108,32.792568
145,-115.504532,32.773611
146,-115.517227,32.79261
147,-115.517242,32.795368
148,-115.508842,32.797329
149,-115.50071,32.773628
150,-115.500835,32.776661
151,-115.496633,32.773606
152,-115.500954,32.799175
153,-115.508827,32.963688
154,-115.552422,32.956039
155,-115.554123,32.978809
156,-115.54303,32.978348
157,-115.52993,32.978451
158,-115.525932,32.993858
159,-115.508614,32.978409
160,-115.525558,33.001148
161,-115.448151,32.97448
162,-115.405327,32.805611
163,-115.381691,32.808952
164,-115.379356,32.808979
165,-115.379356,32.81089
166,-115.341614,32.773071
167,-115.336499,32.775741
168,-115.405319,32.862392
169,-115.40744,32.974361
170,-115.513557,33.125069
171,-115.336526,32.770414
172,-115.090674,32.708956
173,-115.280757,32.771537
174,-115.092417,32.711431
175,-115.089172,32.710381
176,-115.085773,32.709173
177,-115.336449,32.773129
178,-115.331242,32.773124
179,-115.284942,32.775231
180,-115.289113,32.773144
181,-115.284798,32.772869
182,-114.723967,32.743436
183,-114.731728,33.433659
184,-114.719321,32.740549
185,-114.727148,32.718186
186,-114.719551,32.743359
187,-114.714931,32.742854
188,-114.632439,32.733994
189,-114.626742,32.732808
190,-114.623566,32.729263
191,-114.623566,32.729153
192,-114.623567,32.729891
193,-114.623573,32.731915
194,-114.620699,32.73069
195,-114.615845,32.729632
196,-114.656655,33.604723
197,-119.476959,34.376804
198,-119.322777,34.285843
199,-119.304749,34.278881
200,-119.268257,34.265003
201,-119.316559,34.282871
202,-119.304665,34.281605
203,-119.26429,34.276493
204,-119.303627,34.380245
205,-119.467697,34.387829
206,-119.46212,34.390556
207,-119.461346,34.391415
208,-119.452553,34.395935
209,-119.304024,34.424713
210,-119.302307,34.384377
211,-119.287369,34.42989
212,-119.283699,34.463776
213,-119.27726,34.456966
214,-119.241699,34.197716
215,-119.253029,34.218369
216,-119.220497,34.175652
217,-119.220741,34.160831
218,-119.220238,34.197655
219,-119.220337,34.190201
220,-119.220184,34.203056
221,-119.220139,34.208492
222,-119.207062,34.2029
223,-119.207069,34.208324
224,-119.194656,34.154476
225,-119.197769,34.147469
226,-119.194656,34.147491
227,-119.194443,34.175312
228,-119.177032,34.147217
229,-119.176949,34.154408
230,-119.176811,34.173046
231,-119.194115,34.190273
232,-119.194,34.19759
233,-119.193893,34.202713
234,-119.19384,34.208191
235,-119.176682,34.190052
236,-119.176674,34.197521
237,-119.165817,34.147125
238,-119.159058,34.147072
239,-119.158829,34.157513
240,-119.159348,34.172997
241,-119.158897,34.154213
242,-119.148178,34.146946
243,-119.15065,34.161385
244,-119.142036,34.146904
245,-119.148125,34.154049
246,-119.159302,34.175129
247,-119.156647,34.172905
248,-119.142784,34.164852
249,-119.1455,34.172894
250,-119.176414,34.190048
251,-119.158981,34.189827
252,-119.176506,34.208458
253,-119.158897,34.196762
254,-119.158813,34.20615
255,-119.141563,34.189583
256,-119.14151,34.196644
257,-119.141396,34.206009
258,-119.255737,34.244034
259,-119.25621,34.271683
260,-119.240913,34.243973
261,-119.242722,34.264198
262,-119.246819,34.273071
263,-119.245102,34.264809
264,-119.22007,34.219456
265,-119.20652,34.219296
266,-119.217384,34.236504
267,-119.214172,34.244171
268,-119.233322,34.244587
269,-119.233849,34.251362
270,-119.22731,34.245064
271,-119.23082,34.261768
272,-119.236343,34.26495
273,-119.229881,34.262329
274,-119.225426,34.245213
275,-119.210114,34.252525
276,-119.211464,34.265255
277,-119.212646,34.271324
278,-119.213615,34.277916
279,-119.193733,34.219181
280,-119.176254,34.219021
281,-119.186226,34.241394
282,-119.176666,34.226418
283,-119.180679,34.239574
284,-119.195641,34.245129
285,-119.183235,34.257462
286,-119.150375,34.283524
287,-119.157402,34.218861
288,-119.172348,34.231953
289,-119.15773,34.225037
290,-119.141304,34.218552
291,-119.141724,34.222496
292,-119.141457,34.250504
293,-119.152145,34.257812
294,-119.160324,34.294884
295,-119.155418,34.289387
296,-119.148666,34.293491
297,-119.154999,34.298058
298,-119.110619,34.146889
299,-119.084122,34.116669
300,-119.141586,34.161198
301,-119.141487,34.164173
302,-119.141541,34.166039
303,-119.135811,34.161106
304,-119.141678,34.172874
305,-119.126411,34.196579
306,-119.126823,34.205967
307,-119.103462,34.196411
308,-119.127045,34.201767
309,-119.094917,34.204586
310,-119.068832,34.196716
311,-119.068672,34.205513
312,-118.94381,34.0466
313,-119.039627,34.205299
314,-119.033241,34.205292
315,-119.006355,34.21365
316,-119.126068,34.221893
317,-119.124695,34.239086
318,-119.111237,34.229916
319,-119.100937,34.221756
320,-119.135086,34.274544
321,-119.107979,34.256123
322,-119.085182,34.247375
323,-119.068314,34.219093
324,-119.094818,34.333954
325,-119.088448,34.331596
326,-119.084122,34.335449
327,-119.033081,34.216782
328,-118.993797,34.263809
329,-119.009735,34.242001
330,-119.259499,34.441711
331,-119.219078,34.448242
332,-119.257683,34.57206
333,-119.069382,34.383797
334,-119.058952,34.353985
335,-119.057198,34.350029
336,-119.041183,34.36134
337,-119.039711,34.362259
338,-118.894447,34.041599
339,-118.868683,34.039108
340,-118.70295,34.034618
341,-118.678156,34.035632
342,-118.578247,34.039944
343,-118.601234,34.094593
344,-118.57507,34.039939
345,-118.494087,34.011368
346,-118.496979,34.013924
347,-118.489532,34.007442
348,-118.489746,34.012399
349,-118.554466,34.03841
350,-118.537819,34.048428
351,-118.51844,34.028278
352,-118.517349,34.041092
353,-118.505295,34.019978
354,-118.503365,34.019581
355,-118.512527,34.026756
356,-118.500175,34.016834
357,-118.501404,34.021122
358,-118.49025,34.019444
359,-118.493584,34.022144
360,-118.491096,34.048374
361,-118.467064,34.072071
362,-118.966042,34.160599
363,-118.973854,34.156254
364,-118.955948,34.161777
365,-118.924629,34.18425
366,-118.890579,34.183289
367,-118.891151,34.185471
368,-118.875023,34.177197
369,-118.875008,34.181206
370,-118.885162,34.2061
371,-118.964233,34.237537
372,-118.929726,34.273876
373,-118.867653,34.246071
374,-118.887032,34.21661
375,-118.916054,34.278709
376,-118.908852,34.315262
377,-118.900261,34.278896
378,-118.881279,34.279068
379,-118.901352,34.315392
380,-118.878357,34.30806
381,-118.855309,34.126362
382,-118.855049,34.127522
383,-118.828468,34.152046
384,-118.858452,34.176079
385,-118.87542,34.179062
386,-118.860046,34.179272
387,-118.867554,34.199821
388,-118.867401,34.217918
389,-118.856117,34.199799
390,-118.850304,34.177753
391,-118.848206,34.211395
392,-118.836914,34.166157
393,-118.835335,34.169125
394,-118.824226,34.157608
395,-118.819878,34.148472
396,-118.814453,34.152351
397,-118.842041,34.194405
398,-118.839043,34.211624
399,-118.801056,34.148411
400,-118.868973,34.227551
401,-118.85791,34.23241
402,-118.845772,34.227352
403,-118.861946,34.263626
404,-118.873932,34.278885
405,-118.854469,34.26421
406,-118.850342,34.266617
407,-118.862297,34.281994
408,-118.838837,34.241714
409,-118.839073,34.249924
410,-118.826889,34.249836
411,-118.824516,34.250431
412,-118.795616,34.271683
413,-118.864334,34.288452
414,-118.856117,34.29332
415,-118.791237,34.283733
416,-118.935211,34.393681
417,-118.916939,34.396267
418,-118.915024,34.386471
419,-118.894997,34.398666
420,-118.691612,34.406322
421,-118.697021,34.148521
422,-118.702553,34.168545
423,-118.637093,34.159454
424,-118.644463,34.171616
425,-118.634247,34.160446
426,-118.622543,34.164547
427,-118.622589,34.166061
428,-118.622467,34.186516
429,-118.654984,34.184856
430,-118.641891,34.186775
431,-118.645958,34.21925
432,-118.622444,34.201126
433,-118.661308,34.27174
434,-118.661324,34.278828
435,-118.63414,34.267334
436,-118.622543,34.219494
437,-118.605629,34.242767
438,-118.658249,34.277744
439,-118.633926,34.2686
440,-118.63237,34.268421
441,-118.632347,34.269932
442,-118.600121,34.138496
443,-118.611946,34.168793
444,-118.60498,34.168613
445,-118.605003,34.170731
446,-118.59655,34.167862
447,-118.596512,34.169464
448,-118.605049,34.187096
449,-118.605026,34.201134
450,-118.596558,34.188541
451,-118.570076,34.201096
452,-118.57016,34.170956
453,-118.57016,34.172157
454,-118.569992,34.18573
455,-118.535899,34.169056
456,-118.535981,34.173278
457,-118.536051,34.186581
458,-118.536026,34.201172
459,-118.500237,34.159286
460,-118.500282,34.170547
461,-118.491409,34.157524
462,-118.500198,34.172272
463,-118.491463,34.165436
464,-118.491501,34.167004
465,-118.500328,34.186562
466,-118.500267,34.201103
467,-118.48275,34.186501
468,-118.482735,34.201134
469,-118.605011,34.219822
470,-118.604279,34.235695
471,-118.570221,34.220287
472,-118.605057,34.257271
473,-118.605003,34.268398
474,-118.606956,34.277721
475,-118.603897,34.277706
476,-118.57019,34.257481
477,-118.570221,34.231968
478,-118.557152,34.235657
479,-118.569916,34.25753
480,-118.569191,34.273148
481,-118.535903,34.220776
482,-118.53621,34.235553
483,-118.536133,34.257433
484,-118.53614,34.274979
485,-118.501877,34.221237
486,-118.501732,34.235874
487,-118.482712,34.221245
488,-118.4841,34.235603
489,-118.501488,34.257469
490,-118.484032,34.257336
491,-118.501389,34.278126
492,-118.483826,34.267975
493,-118.500595,34.310913
494,-118.550354,34.295525
495,-118.501282,34.279385
496,-118.483734,34.279091
497,-118.514481,34.33815
498,-118.507782,34.33392
499,-118.505493,34.332909
500,-118.506989,34.334373
501,-118.506729,34.338081
502,-118.506226,34.33894
503,-118.504852,34.342114
504,-118.497961,34.315894
505,-118.502357,34.32391
506,-118.495934,34.319946
507,-118.495361,34.321041
508,-118.487793,34.31459
509,-118.49041,34.314976
510,-118.489082,34.31649
511,-118.483788,34.319309
512,-118.608258,34.44122
513,-118.600102,34.44116
514,-118.583976,34.426675
515,-118.604553,34.443462
516,-118.608797,34.445889
517,-118.622803,34.496254
518,-118.582336,34.4235
519,-118.580506,34.419887
520,-118.576633,34.411187
521,-118.575317,34.408543
522,-118.574222,34.406181
523,-118.572685,34.409308
524,-118.579271,34.424118
525,-118.562286,34.420021
526,-118.548889,34.416149
527,-118.560287,34.43338
528,-118.54039,34.413559
529,-118.537689,34.398006
530,-118.51757,34.372902
531,-118.505722,34.365845
532,-118.502663,34.365246
533,-118.500717,34.36504
534,-118.540146,34.422768
535,-118.536484,34.427006
536,-118.530327,34.433338
537,-118.540176,34.460571
538,-118.546051,34.466946
539,-118.471001,34.415756
540,-118.497406,34.449844
541,-118.488457,34.447197
542,-119.4412,34.787189
543,-118.794312,34.759289
544,-118.794844,34.7534
545,-118.79749,34.764432
546,-118.789547,34.763937
547,-118.43438,34.775547
548,-118.312065,33.722813
549,-118.406738,33.74931
550,-118.390778,33.800186
551,-118.357208,33.787701
552,-118.389542,33.802383
553,-118.387047,33.801331
554,-118.385696,33.815228
555,-118.35025,33.804813
556,-118.382729,33.818504
557,-118.292053,33.706806
558,-118.315765,33.736168
559,-118.318092,33.743038
560,-118.308693,33.746933
561,-118.292,33.721325
562,-118.291496,33.735939
563,-118.293884,33.747528
564,-118.291908,33.747528
565,-118.351311,33.782413
566,-118.308739,33.778961
567,-118.332275,33.791901
568,-118.350563,33.825359
569,-118.327042,33.805691
570,-118.327644,33.821701
571,-118.307006,33.787117
572,-118.296616,33.78196
573,-118.291412,33.755104
574,-118.296562,33.785236
575,-118.307143,33.789368
576,-118.307371,33.797612
577,-118.296669,33.789726
578,-118.296638,33.797626
579,-118.291046,33.790779
580,-118.290714,33.797593
581,-118.308831,33.817107
582,-118.290259,33.810224
583,-118.286842,33.706802
584,-118.285816,33.707172
585,-118.287003,33.735889
586,-118.291473,33.745199
587,-118.286972,33.748642
588,-118.291412,33.746685
589,-118.289986,33.747513
590,-118.290176,33.748581
591,-118.28022,33.749382
592,-118.273777,33.749779
593,-118.288962,33.757971
594,-118.288559,33.756535
595,-118.28008,33.769297
596,-118.277779,33.770248
597,-118.281709,33.77872
598,-118.27906,33.771698
599,-118.277809,33.771664
600,-118.279175,33.774978
601,-118.279205,33.775352
602,-118.278278,33.775466
603,-118.279449,33.77882
604,-118.278587,33.778843
605,-118.276342,33.77901
606,-118.279884,33.781958
607,-118.279186,33.7821
608,-118.272606,33.770561
609,-118.273308,33.779221
610,-118.260857,33.771183
611,-118.261269,33.775536
612,-118.261589,33.779865
613,-118.283331,33.790686
614,-118.282158,33.798058
615,-118.287629,33.805173
616,-118.282914,33.793397
617,-118.280546,33.787115
618,-118.28125,33.790432
619,-118.280159,33.790295
620,-118.281407,33.793538
621,-118.279853,33.787145
622,-118.27833,33.790215
623,-118.274094,33.790405
624,-118.274422,33.798447
625,-118.286797,33.808922
626,-118.286568,33.813244
627,-118.283982,33.807878
628,-118.274719,33.807838
629,-118.262436,33.791046
630,-118.263062,33.799015
631,-118.263306,33.808109
632,-118.275177,33.824215
633,-118.262856,33.824074
634,-118.255707,33.751827
635,-118.238449,33.758217
636,-118.249489,33.776356
637,-118.24411,33.781052
638,-118.23774,33.758381
639,-118.240547,33.774323
640,-118.239449,33.773163
641,-118.24118,33.781284
642,-118.241669,33.785454
643,-118.226479,33.78236
644,-118.239754,33.791233
645,-118.236343,33.800529
646,-118.233459,33.807938
647,-118.224174,33.789787
648,-118.221924,33.804565
649,-118.228228,33.821867
650,-118.433739,33.930622
651,-118.447891,33.95845
652,-118.417122,33.90089
653,-118.42881,33.930725
654,-118.444733,33.961143
655,-118.403969,33.873161
656,-118.394699,33.872726
657,-118.409897,33.884556
658,-118.391792,33.86338
659,-118.395126,33.887188
660,-118.387161,33.838184
661,-118.384613,33.83823
662,-118.380989,33.83754
663,-118.352737,33.837406
664,-118.352882,33.848423
665,-118.376266,33.848244
666,-118.37944,33.872814
667,-118.380669,33.872814
668,-118.3797,33.874367
669,-118.3778,33.88718
670,-118.353775,33.872677
671,-118.408859,33.884926
672,-118.39534,33.901733
673,-118.395218,33.916142
674,-118.40286,33.930834
675,-118.402856,33.93114
676,-118.396843,33.930859
677,-118.395554,33.927628
678,-118.395439,33.930676
679,-118.395432,33.930866
680,-118.38771,33.930691
681,-118.387684,33.931244
682,-118.395439,33.935307
683,-118.395447,33.943169
684,-118.397693,33.943484
685,-118.395447,33.944166
686,-118.395477,33.945503
687,-118.390461,33.945479
688,-118.377815,33.901726
689,-118.373122,33.901695
690,-118.377365,33.916317
691,-118.356056,33.887215
692,-118.369058,33.89786
693,-118.355438,33.887211
694,-118.369484,33.901634
695,-118.365684,33.901635
696,-118.369504,33.905656
697,-118.369569,33.91163
698,-118.369293,33.916248
699,-118.351692,33.901711
700,-118.380752,33.930691
701,-118.380723,33.931133
702,-118.373749,33.916373
703,-118.37738,33.930534
704,-118.37738,33.930904
705,-118.377363,33.9303
706,-118.385094,33.945454
707,-118.377373,33.945335
708,-118.370247,33.916313
709,-118.364597,33.916203
710,-118.369316,33.923531
711,-118.367846,33.923485
712,-118.369286,33.930305
713,-118.369293,33.93079
714,-118.369232,33.926304
715,-118.367604,33.92519
716,-118.367523,33.930538
717,-118.367508,33.930744
718,-118.366539,33.930752
719,-118.35173,33.916229
720,-118.359572,33.930743
721,-118.369305,33.936213
722,-118.367604,33.937382
723,-118.369306,33.940783
724,-118.367569,33.940843
725,-118.371109,33.945293
726,-118.369301,33.945244
727,-118.367569,33.945286
728,-118.359884,33.932188
729,-118.363927,33.945235
730,-118.469177,33.984852
731,-118.488373,34.012943
732,-118.482079,34.012188
733,-118.483332,34.01326
734,-118.468758,33.984303
735,-118.464828,33.979656
736,-118.460243,33.989666
737,-118.451996,33.993813
738,-118.438629,33.967636
739,-118.429504,33.971783
740,-118.432083,33.975605
741,-118.441986,33.984539
742,-118.418434,33.959755
743,-118.427078,33.981743
744,-118.447098,33.990215
745,-118.434364,33.996723
746,-118.432716,34.003632
747,-118.419876,33.990654
748,-118.427605,33.996883
749,-118.429527,33.99931
750,-118.417784,34.005911
751,-118.42121,34.010037
752,-118.485435,34.015072
753,-118.485046,34.014729
754,-118.486451,34.015975
755,-118.480978,34.017374
756,-118.481588,34.018116
757,-118.476562,34.035965
758,-118.473373,34.033241
759,-118.469131,34.027813
760,-118.456362,34.025925
761,-118.457508,34.027096
762,-118.469986,34.025845
763,-118.458382,34.050812
764,-118.44766,34.046346
765,-118.465714,34.072746
766,-118.464336,34.071094
767,-118.465157,34.072956
768,-118.463919,34.071558
769,-118.467264,34.074769
770,-118.466376,34.074463
771,-118.464042,34.07367
772,-118.453329,34.058344
773,-118.452086,34.057889
774,-118.453041,34.027588
775,-118.448311,34.028229
776,-118.447648,34.030195
777,-118.445473,34.024471
778,-118.446822,34.026274
779,-118.444411,34.029171
780,-118.442071,34.02945
781,-118.441978,34.029716
782,-118.439144,34.038885
783,-118.440964,34.03352
784,-118.439654,34.030173
785,-118.444467,34.045159
786,-118.438934,34.03899
787,-118.43692,34.04023
788,-118.443306,34.047813
789,-118.428124,34.025741
790,-118.419971,34.015245
791,-118.433289,34.031116
792,-118.41859,34.015763
793,-118.430294,34.031233
794,-118.436833,34.035717
795,-118.437164,34.035561
796,-118.43045,34.031506
797,-118.434113,34.037003
798,-118.424331,34.031763
799,-118.421113,34.031646
800,-118.427597,34.040047
801,-118.41967,34.050308
802,-118.423851,34.041809
803,-118.454147,34.054523
804,-118.449276,34.053216
805,-118.447432,34.048777
806,-118.452678,34.054968
807,-118.451204,34.055783
808,-118.450623,34.05608
809,-118.449011,34.054349
810,-118.447567,34.057455
811,-118.445808,34.04689
812,-118.444095,34.047512
813,-118.443115,34.058643
814,-118.436203,34.050011
815,-118.423355,34.057682
816,-118.428062,34.066891
817,-118.403557,33.959797
818,-118.408302,33.981213
819,-118.395706,33.952015
820,-118.403526,33.957005
821,-118.395531,33.957092
822,-118.395393,33.959854
823,-118.390388,33.959908
824,-118.393165,33.976521
825,-118.393898,33.980751
826,-118.413254,33.985405
827,-118.412371,34.000621
828,-118.404414,33.988185
829,-118.414766,34.002459
830,-118.418991,34.011349
831,-118.415634,34.007202
832,-118.417526,34.012131
833,-118.414307,34.007984
834,-118.416298,34.012882
835,-118.413712,34.004223
836,-118.410934,34.0023
837,-118.412666,34.005917
838,-118.410393,34.003059
839,-118.409309,34.001793
840,-118.405796,33.996925
841,-118.409172,34.004589
842,-118.406832,34.003267
843,-118.412971,34.008759
844,-118.412003,34.007042
845,-118.411073,34.008766
846,-118.411592,34.009648
847,-118.407997,34.006113
848,-118.410049,34.010246
849,-118.404182,33.983643
850,-118.396557,33.982422
851,-118.400438,33.986145
852,-118.398621,33.987797
853,-118.39978,33.989376
854,-118.40216,33.992294
855,-118.404756,33.998403
856,-118.394524,33.995022
857,-118.394051,33.981236
858,-118.395638,33.984243
859,-118.395213,33.983646
860,-118.3964,33.988792
861,-118.395529,33.987437
862,-118.394608,33.987347
863,-118.394447,33.988426
864,-118.395364,33.988579
865,-118.393768,33.981831
866,-118.393019,33.980598
867,-118.392746,33.98056
868,-118.394475,33.983935
869,-118.388313,33.988712
870,-118.395309,33.989498
871,-118.39431,33.990143
872,-118.39463,33.995937
873,-118.390091,34.00156
874,-118.401665,34.013817
875,-118.392647,34.004128
876,-118.38459,33.959953
877,-118.384422,33.965221
878,-118.376099,33.959995
879,-118.387135,33.976893
880,-118.386554,33.977805
881,-118.381179,33.974006
882,-118.379208,33.969836
883,-118.377159,33.971699
884,-118.373233,33.969648
885,-118.371086,33.977173
886,-118.375138,33.973499
887,-118.36961,33.952943
888,-118.368416,33.952892
889,-118.369582,33.956225
890,-118.368562,33.956217
891,-118.372027,33.96032
892,-118.37149,33.962277
893,-118.369423,33.961391
894,-118.369896,33.963112
895,-118.368591,33.961418
896,-118.369145,33.963327
897,-118.368927,33.963184
898,-118.365724,33.961502
899,-118.366673,33.964233
900,-118.352463,33.961674
901,-118.37155,33.968587
902,-118.369637,33.965527
903,-118.369309,33.969218
904,-118.369354,33.977127
905,-118.369461,33.978546
906,-118.352547,33.965221
907,-118.356789,33.976147
908,-118.376907,33.988716
909,-118.376076,34.021961
910,-118.369553,33.987617
911,-118.368706,33.997902
912,-118.357735,33.988445
913,-118.371475,34.021664
914,-118.357079,33.997082
915,-118.41436,34.013944
916,-118.406059,34.018604
917,-118.404663,34.016796
918,-118.414319,34.029289
919,-118.421252,34.031824
920,-118.418732,34.031862
921,-118.417576,34.033378
922,-118.417325,34.030147
923,-118.416222,34.031776
924,-118.415466,34.030712
925,-118.416206,34.046322
926,-118.412555,34.031533
927,-118.394753,34.022701
928,-118.391617,34.026711
929,-118.389885,34.025608
930,-118.379816,34.036527
931,-118.40976,34.066978
932,-118.408546,34.066956
933,-118.375244,34.05331
934,-118.375229,34.059479
935,-118.394897,34.077259
936,-118.38887,34.072056
937,-118.375389,34.065159
938,-118.38884,34.077076
939,-118.377808,34.031101
940,-118.375305,34.026474
941,-118.37766,34.034864
942,-118.376976,34.03458
943,-118.373375,34.032539
944,-118.376953,34.035248
945,-118.376648,34.036781
946,-118.376291,34.038266
947,-118.374779,34.036423
948,-118.371178,34.026539
949,-118.37183,34.030035
950,-118.354774,34.021511
951,-118.353981,34.02552
952,-118.372253,34.032978
953,-118.370517,34.032482
954,-118.369533,34.034235
955,-118.371916,34.038145
956,-118.369132,34.035353
957,-118.367348,34.035057
958,-118.368403,34.036894
959,-118.369533,34.039522
960,-118.366655,34.051525
961,-118.363262,34.034128
962,-118.35101,34.032543
963,-118.376694,34.07196
964,-118.382866,34.077095
965,-118.375524,34.070395
966,-118.378738,34.076588
967,-118.376397,34.071695
968,-118.375572,34.072144
969,-118.375626,34.076061
970,-118.363811,34.058202
971,-118.36361,34.058686
972,-118.371906,34.064349
973,-118.362735,34.058066
974,-118.361476,34.063044
975,-118.361396,34.076085
976,-118.327789,33.836224
977,-118.32782,33.846554
978,-118.351654,33.872658
979,-118.351715,33.874146
980,-118.351631,33.88141
981,-118.345567,33.872669
982,-118.34124,33.872627
983,-118.347567,33.875649
984,-118.344147,33.87674
985,-118.348217,33.881865
986,-118.347098,33.880672
987,-118.340294,33.877991
988,-118.326283,33.861166
989,-118.331134,33.866054
990,-118.326237,33.864569
991,-118.338092,33.868864
992,-118.336963,33.872662
993,-118.326374,33.872719
994,-118.326465,33.882873
995,-118.309241,33.838096
996,-118.315157,33.836148
997,-118.309248,33.846662
998,-118.298195,33.846386
999,-118.289984,33.841916
1000,-118.290302,33.846341
1001,-118.319985,33.862726
1002,-118.314308,33.860999
1003,-118.309247,33.858291
1004,-118.309019,33.859804
1005,-118.309065,33.86196
1006,-118.308972,33.872644
1007,-118.309062,33.888319
1008,-118.303009,33.858209
1009,-118.303175,33.859644
1010,-118.293365,33.858228
1011,-118.29394,33.859671
1012,-118.297951,33.872688
1013,-118.290613,33.872719
1014,-118.351669,33.884529
1015,-118.351631,33.887188
1016,-118.326465,33.88726
1017,-118.326465,33.901896
1018,-118.326376,33.916267
1019,-118.351761,33.928748
1020,-118.354569,33.930764
1021,-118.351761,33.930752
1022,-118.343872,33.930779
1023,-118.340536,33.928407
1024,-118.34067,33.930779
1025,-118.355148,33.933412
1026,-118.351768,33.93346
1027,-118.351768,33.93581
1028,-118.351768,33.945274
1029,-118.334746,33.924709
1030,-118.326382,33.930921
1031,-118.326459,33.925165
1032,-118.326306,33.945343
1033,-118.317764,33.885464
1034,-118.31781,33.887317
1035,-118.308908,33.901752
1036,-118.308908,33.916269
1037,-118.29157,33.892309
1038,-118.291347,33.901696
1039,-118.317759,33.925451
1040,-118.308978,33.930814
1041,-118.307602,33.925833
1042,-118.308777,33.945331
1043,-118.295856,33.928131
1044,-118.291548,33.916325
1045,-118.291277,33.930869
1046,-118.291146,33.928673
1047,-118.291478,33.945386
1048,-118.290166,33.824406
1049,-118.286621,33.824356
1050,-118.286586,33.820284
1051,-118.283935,33.824401
1052,-118.286656,33.828871
1053,-118.285738,33.840136
1054,-118.285271,33.842091
1055,-118.287861,33.841924
1056,-118.287525,33.846129
1057,-118.284317,33.845951
1058,-118.279099,33.84206
1059,-118.280935,33.842036
1060,-118.284184,33.848347
1061,-118.280814,33.845922
1062,-118.284144,33.849248
1063,-118.279312,33.845909
1064,-118.279464,33.849943
1065,-118.262848,33.83551
1066,-118.270861,33.846389
1067,-118.275493,33.850191
1068,-118.270187,33.846474
1069,-118.265947,33.842547
